"object_number","object_name","dimensions","reproduction.path"
"NK2844","schilderij","hoogte 120 cm; breedte 140.5 cm; diepte 12 cm; breedte 100.5 cm; hoogte 97.5 cm; breedte 118.5 cm","NK_collectie/images_remove_frame/8075a7e5-9093-115a-deb1-3e07851b1ef1_cropped.jpg"
"NK2844","schilderij","hoogte 120 cm; breedte 140.5 cm; diepte 12 cm; breedte 100.5 cm; hoogte 97.5 cm; breedte 118.5 cm","NK_collectie/images_remove_frame/f7bb619b-70a4-430f-d8ac-e4721019db08_cropped.jpg"
"NK2852","schilderij","hoogte 56 cm; breedte 53.5 cm","NK_collectie/images_remove_frame/9bd26d90-90b0-f860-1b87-4aed8ce68c5f_cropped.jpg"
"NK2852","schilderij","hoogte 56 cm; breedte 53.5 cm","NK_collectie/images_remove_frame/4054dae1-1538-250a-72fb-97b702ebdd6f_cropped.jpg"
"NK2853","schilderij","hoogte 84 cm; breedte 68.5 cm; hoogte 101 cm; breedte 85.7 cm; diepte 8 cm","NK_collectie/images_remove_frame/d6bb93e3-23bc-a5e0-f622-0ce240173b71_cropped.jpg"
"NK2853","schilderij","hoogte 84 cm; breedte 68.5 cm; hoogte 101 cm; breedte 85.7 cm; diepte 8 cm","NK_collectie/images_remove_frame/a5b40034-d1a8-b24e-b610-2726a92a0c7c_cropped.jpg"
"NK2853","schilderij","hoogte 84 cm; breedte 68.5 cm; hoogte 101 cm; breedte 85.7 cm; diepte 8 cm","NK_collectie/images_remove_frame/675dd01c-1c06-f4fb-ea9d-e278683847dd_cropped.jpg"
"NK2853","schilderij","hoogte 84 cm; breedte 68.5 cm; hoogte 101 cm; breedte 85.7 cm; diepte 8 cm","NK_collectie/images_remove_frame/08b67778-6882-538c-71e6-fb9f74a3d83b_cropped.jpg"
"NK2854","schilderij","hoogte 50 cm; breedte 72.5 cm","NK_collectie/images_remove_frame/043600a5-26d1-dab7-df52-b4fde5fad538_cropped.jpg"
"NK2854","schilderij","hoogte 50 cm; breedte 72.5 cm","NK_collectie/images_remove_frame/aec8a8e0-e182-e61c-7236-32db99dd9bee_cropped.jpg"
"NK2854","schilderij","hoogte 50 cm; breedte 72.5 cm","NK_collectie/images_remove_frame/422841fe-14d4-0f4c-fde7-9dd4eb01a836_cropped.jpg"
"NK2855","schilderij","hoogte 37.7 cm; breedte 30.7 cm; hoogte 53 cm; breedte 46.5 cm; diepte 5 cm","NK_collectie/images_remove_frame/276e1243-74e6-e36c-f93f-6b942ea3a2d8_cropped.jpg"
"NK2855","schilderij","hoogte 37.7 cm; breedte 30.7 cm; hoogte 53 cm; breedte 46.5 cm; diepte 5 cm","NK_collectie/images_remove_frame/1f9df338-540f-28b7-2660-7e1d3a4ed621_cropped.jpg"
"NK2855","schilderij","hoogte 37.7 cm; breedte 30.7 cm; hoogte 53 cm; breedte 46.5 cm; diepte 5 cm","NK_collectie/images_remove_frame/bdab7fc8-fb94-5ab6-0656-93f324c20dfd_cropped.jpg"
"NK2855","schilderij","hoogte 37.7 cm; breedte 30.7 cm; hoogte 53 cm; breedte 46.5 cm; diepte 5 cm","NK_collectie/images_remove_frame/bd773d62-bb2f-983f-a56b-e9ddf66d7c21_cropped.jpg"
"NK2857","schilderij","hoogte 38.5 cm; breedte 81.5 cm","NK_collectie/images_remove_frame/0d5f65b5-4b44-7517-5e3e-edb3442cd64b_cropped.jpg"
"NK2857","schilderij","hoogte 38.5 cm; breedte 81.5 cm","NK_collectie/images_remove_frame/2c2f7520-7d35-44ef-f717-5a9e9042c591_cropped.jpg"
"NK286","kan","hoogte 29 cm","NK_collectie/images_remove_frame/f00cbe48-ed95-1abd-8025-930052ac6fd3_cropped.jpg"
"NK2861","schilderij","hoogte 53 cm; breedte 83 cm","NK_collectie/images_remove_frame/ce461c11-3d86-eeaf-937e-98d53cc32b84_cropped.jpg"
"NK2861","schilderij","hoogte 53 cm; breedte 83 cm","NK_collectie/images_remove_frame/d0fb6ddf-cb45-d8e1-8f0b-d681c02fca4c_cropped.jpg"
"NK2872","schilderij","hoogte 104 cm; breedte 129 cm; diepte 6 cm","NK_collectie/images_remove_frame/5d7f578b-da06-655f-e9be-c7d36ba3eace_cropped.jpg"
